x,y,z,nx,ny,nz
220.7707305908203,190.77456970214845,30.90847587585449,-0.5838436464335841,-0.6185544354587865,0.5258488441495313
343.1872338867188,190.28047119140626,32.28962326049805,-0.3766506786779941,0.20373060604984267,0.9036747791157895
257.01966552734376,191.1355450439453,30.53952980041504,0.006182537572138075,0.11714717819299529,-0.9930953201332631
343.151240234375,192.15900573730468,30.957334518432617,-0.27151797739909117,0.18639055431685642,0.9442121314675862
97.16196563720703,193.45667236328126,30.58755111694336,0.023950768397459944,0.09276712664441299,-0.9953997292079754
119.48307678222656,194.2522106933594,30.454389572143555,0.6800267578194745,-0.5495109429665692,0.485387816296954
196.07178527832033,194.24680603027343,30.864107131958008,0.07313166737011721,-0.013316658327309593,-0.9972333858423815
329.475,194.465,30.5,-0.7261026835419087,-0.006104580661650927,0.6875591807605977
18.637438430786133,194.64050415039063,30.48214340209961,-0.0,-0.0,-1.0
328.90000000000003,195.615,30.5,-0.9233797511387012,0.002991486440267232,0.38387613392331127
290.49,196.19,31.0,-0.6356580090544213,0.08010008082500772,0.7678039284718436
182.75122802734376,196.4192840576172,30.648134231567383,-0.06336233640744678,-0.11867266269103648,-0.9909096898581673
343.62,196.76500000000001,31.0,-0.39107677750939196,0.018789086177798328,0.9201662482038082
5.943360595703125,196.89269042968752,32.43950271606445,0.8489172303626206,-0.09587929983709592,-0.5197563812558778
148.9529919433594,197.15399536132813,30.59146308898926,-0.14817677383202812,-0.846644664343985,-0.5111129581947543
189.2696307373047,197.6327783203125,30.61912536621094,0.03185492113291195,-0.01711317848269621,-0.9993459876948703
149.33164123535158,199.63882080078125,30.47279930114746,-0.09038897414520054,-0.7890330639205548,0.607664921970258
195.4616619873047,201.45745483398437,30.664451599121094,-0.14871824542393697,-0.338257697156117,0.9292279665360196
106.04739318847658,202.01471069335938,31.026968002319336,-0.13085681889946293,-0.18079936078897899,-0.9747759148059671
337.5547607421875,202.08275329589844,30.85454559326172,-0.4766984170558577,-0.15113902450690617,-0.8659766823925114
205.275,205.16,30.5,-0.7826487929064873,0.09723821383188735,0.6148215974840202
21.705593719482426,205.2432879638672,30.64366912841797,0.04445860522875543,-0.029351790434107745,-0.9985799441303764
