x,y,z
267.7728112792969,96.9863070678711,31.90550994873047
284.77327026367186,97.1717221069336,31.72010040283203
251.46749023437502,98.36192016601564,31.99021911621094
288.3562951660156,101.2126693725586,31.61128616333008
293.6166186523438,102.22275177001954,32.1229248046875
279.98549682617187,105.54526489257813,31.842256546020508
280.5020703125,106.37678283691407,31.843385696411133
278.53000000000003,108.44500000000001,31.5
39.43625427246094,114.52211547851563,31.724836349487305
245.87036499023438,115.5531918334961,31.878082275390625
340.8720446777344,116.17131683349609,31.611425399780273
113.94270751953125,122.21087341308595,31.504215240478516
215.57357849121095,125.59622802734376,32.01250076293945
40.365,130.525,31.5
7.005920867919923,130.92981628417968,31.88780975341797
79.5744760131836,132.84122802734376,31.638574600219727
275.425,132.94,32.0
264.921142578125,134.0818298339844,31.917835235595703
350.31445434570315,134.27989318847656,31.834095001220703
253.345,135.35500000000002,31.5
321.4039147949219,140.9216766357422,31.64151954650879
318.0801452636719,141.90320556640626,32.07549285888672
113.34545013427734,143.07705627441408,31.57636260986328
305.21000000000004,143.75,31.5
111.00864929199219,144.91420654296877,31.55399513244629
177.77643920898439,145.1501306152344,31.516510009765625
81.84294647216797,145.01161682128907,32.451805114746094
244.35329711914065,145.29671630859374,32.034053802490234
17.02,145.82,31.5
151.49180786132814,147.51483215332033,32.97532272338867
201.34095275878906,148.36457153320313,32.6490592956543
136.25910888671876,149.0962646484375,31.74622344970703
48.77799682617188,150.83176513671876,31.82478904724121
335.8,152.145,31.5
291.64,157.435,31.5
44.13467178344727,158.23960693359376,31.83384704589844
19.07809394836426,159.8526953125,31.489856719970703
268.64,160.77,32.0
144.5429412841797,161.0861657714844,31.968236923217773
55.660000000000004,166.29000000000002,31.5
252.56291015625,167.7763104248047,31.551429748535156
6.521777992248535,168.945107421875,31.74483108520508
319.1380554199219,174.97015563964845,32.020538330078125
58.88434478759766,179.59369750976563,31.78111267089844
176.18,181.01000000000002,31.5
69.575,181.01000000000002,31.5
13.57,181.93,31.5
67.045,182.505,31.5
58.995000000000005,183.425,31.5
68.38421936035157,184.01479614257812,31.49152946472168
192.51000000000002,184.23000000000002,31.5
212.98000000000002,189.405,31.5
196.51947387695313,189.8933709716797,31.590255737304688
335.225,191.01500000000001,32.0
343.24333007812504,193.59361389160156,32.40087127685547
180.44437744140626,195.3378741455078,32.022727966308594
215.85175720214843,195.55814575195313,31.842126846313477
332.925,195.615,32.0
189.405,195.845,31.5
274.03317993164063,195.81066284179687,31.885921478271484
184.88049682617188,196.0726416015625,31.87019157409668
63.856599731445314,196.4666345214844,31.55487823486328
216.35291687011718,197.1840789794922,31.61138153076172
183.17992309570315,200.0623779296875,31.8260555267334
3.335,202.055,31.5
65.55308837890625,203.37180053710938,31.581396102905273
183.43149963378906,204.24313049316407,31.83083915710449
59.17809875488282,205.17167968750002,31.63218879699707
150.76500000000001,206.31,31.5
231.6858758544922,207.36362854003906,31.56986618041992
72.6736898803711,208.0909698486328,31.514827728271484
271.72849121093753,208.78061889648438,31.91390037536621
152.82671752929687,210.98027465820314,32.1385383605957
264.5934094238281,211.06214477539064,33.47286605834961
153.6464715576172,211.1835040283203,31.75480079650879
88.40944366455078,212.60172973632814,32.00441360473633
67.275,213.44,31.5
30.44886459350586,213.1053601074219,31.571670532226562
331.2,213.21,31.5
116.0557763671875,213.5622998046875,31.568580627441406
